"","Bromeliad","Distance","Bearing","Ref_Flag_x","Ref_Flag_y","DO","Temp","PAR","Detritus","Water","Full_Sun","Depth","Width","Volume","Tad_Count","Pool_ID","PercPAR","logPAR","YNGoop","YNTad","L_H","Goop_Cat","Goop_Count"
"69","6",1.4,10,15,5,1.4,23.2,22,"None","Turbid",450,13,9,240,0,100,4.88888888888889,1.58696505658204,1,0,"Middle","High",3
"70","6",1.15,12,15,5,3.6,23.2,13,"None","Turbid",780,14,9,360,0,101,1.66666666666667,0.510825623765991,1,0,"Low","Medium",2
"71","6",1.35,6,15,5,1.8,23.3,125,"None","Turbid",670,15,10,240,0,102,18.6567164179104,2.92620621090538,1,0,"Low","High",3
"72","6",1.3,12,15,5,1.6,23.1,9,"None","Turbid",670,14,13,320,0,103,1.34328358208955,0.295117050939299,1,0,"Low","High",3
"73","6",1.3,10,15,5,3.5,24.1,96,"None","Clear",530,14,8,200,0,104,18.1132075471698,2.89664137090976,1,0,"Middle","Low",1
"74","6",1.4,10,15,5,2.3,23.3,55,"Mid","Turbid",560,16,11,480,0,105,9.82142857142857,2.28456658749137,1,0,"Low","Medium",2
"75","6",1.25,10,15,5,3.8,24.1,96,"None","Clear",690,12,6,120,0,106,13.9130434782609,2.63282677986462,1,0,"High","Low",1
"76","7",0.45,226,22.5,10,3.4,25.4,87,"Very High","Turbid",2400,16,13,320,0,108,3.625,1.28785428830664,0,0,"Low","None",0
"77","7",0.4,226,22.5,10,4.4,25.2,94,"Low","Clear",1970,16,16,320,1,109,4.77157360406091,1.56267614652606,1,1,"Low","Low",1
"78","7",0.55,210,22.5,10,4.5,25.7,60,"Low","Turbid",2120,17,12,360,1,110,2.83018867924528,1.04034338054413,0,1,"Middle","None",0
"79","7",0.7,228,22.5,10,3.8,24.6,25,"Mid","Clear",2090,13,15,440,0,111,1.19617224880383,0.179126665897435,0,0,"Low","None",0
"80","7",0.4,210,22.5,10,5.6,25.6,123,"None","Clear",2190,20,12,440,1,112,5.61643835616438,1.72569771854996,0,1,"Middle","None",0
"81","7",0.6,210,22.5,10,2.7,25,58,"High","Turbid",2230,14,13,280,0,113,2.60089686098655,0.955856332080346,0,0,"Low","None",0
"82","7",0.45,210,22.5,10,5.4,26,154,"None","Clear",2420,20,12,560,1,114,6.36363636363636,1.85059996925099,0,1,"Middle","None",0
"83","7",0.6,234,22.5,10,4.4,25.3,62,"Low","Turbid",2460,18,14,600,0,115,2.52032520325203,0.924387942106775,1,0,"Middle","Low",1
"84","7",0.4,228,22.5,10,4.5,25.3,63,"Low","Turbid",743,15,15,320,0,116,8.47913862718708,2.13760886766186,1,0,"Low","Low",1
"85","7",0.55,238,22.5,10,4,25.2,43,"Mid","Turbid",2180,14,13,320,0,117,1.97247706422018,0.679290145898519,0,0,"Low","None",0
"86","7",0.4,220,22.5,10,5,27.3,1850,"None","Clear",2100,17,10,400,1,118,88.0952380952381,4.47841848034895,1,1,"High","Low",1
"87","7",0.65,220,22.5,10,2.3,25,12,"High","Turbid",2100,11,14,320,0,119,0.571428571428571,-0.559615787935423,0,0,"Low","None",0
"88","7",0.5,232,22.5,10,4.5,26.6,1980,"None","Clear",2090,16,10,440,0,120,94.7368421052632,4.55110296471782,1,0,"Middle","Low",1
"89","7",0.6,228,22.5,10,2.3,25.5,28,"High","Turbid",2060,13,12,240,0,121,1.35922330097087,0.306913434379669,0,0,"Middle","None",0
"90","7",0.55,216,22.5,10,4.6,27.9,400,"None","Clear",2440,13,8,320,1,122,16.3934426229508,2.79688141480883,0,1,"High","None",0
"91","7",0.6,220,22.5,10,5.1,26.5,54,"Low","Clear",2180,17,13,440,1,123,2.47706422018349,0.907074076769231,1,1,"Middle","Low",1
"92","7",0.55,230,22.5,10,4.5,27.7,260,"None","Clear",2100,17,11,520,0,124,12.3809523809524,2.5161591932921,1,0,"High","Low",1
"93","7",0.45,242,22.5,10,4.5,25.5,20,"Low-Mid","Clear",2430,15,14,600,0,125,0.823045267489712,-0.194744076792512,0,0,"Low","None",0
